MatchID,StatName,StatValue
g_1_2JcaMY94,AwayTeam,Benevento
g_1_2JcaMY94,Goals,"1
-
1"
g_1_2JcaMY94,Home: Posiadanie piłki,49%
g_1_2JcaMY94,Away: Posiadanie piłki,51%
g_1_2JcaMY94,Home: Sytuacje bramkowe,12
g_1_2JcaMY94,Away: Sytuacje bramkowe,9
g_1_2JcaMY94,Home: Strzały na bramkę,7
g_1_2JcaMY94,Away: Strzały na bramkę,3
g_1_2JcaMY94,Home: Strzały niecelne,2
g_1_2JcaMY94,Away: Strzały niecelne,4
g_1_2JcaMY94,Home: Strzały zablokowane,3
g_1_2JcaMY94,Away: Strzały zablokowane,2
g_1_2JcaMY94,Home: Rzuty wolne,9
g_1_2JcaMY94,Away: Rzuty wolne,22
g_1_2JcaMY94,Home: Rzuty rożne,8
g_1_2JcaMY94,Away: Rzuty rożne,3
g_1_2JcaMY94,Home: Spalone,3
g_1_2JcaMY94,Away: Spalone,0
g_1_2JcaMY94,Home: Interwencje bramkarzy,2
g_1_2JcaMY94,Away: Interwencje bramkarzy,6
g_1_2JcaMY94,Home: Faule,17
g_1_2JcaMY94,Away: Faule,10
g_1_2JcaMY94,Home: Żółte kartki,0
g_1_2JcaMY94,Away: Żółte kartki,2
g_1_2JcaMY94,Home: Podania celne,431
g_1_2JcaMY94,Away: Podania celne,394
g_1_2JcaMY94,Home: Bloki,10
g_1_2JcaMY94,Away: Bloki,5
g_1_2JcaMY94,Home: Ataki,97
g_1_2JcaMY94,Away: Ataki,90
g_1_tQpRzYOc,MatchDate,23.05.2021 15:00
g_1_tQpRzYOc,HomeTeam,Inter
g_1_tQpRzYOc,AwayTeam,Udinese
g_1_tQpRzYOc,Goals,"5
-
1"
g_1_tQpRzYOc,Home: Posiadanie piłki,49%
g_1_tQpRzYOc,Away: Posiadanie piłki,51%
g_1_tQpRzYOc,Home: Sytuacje bramkowe,14
g_1_tQpRzYOc,Away: Sytuacje bramkowe,8
g_1_tQpRzYOc,Home: Strzały na bramkę,9
g_1_tQpRzYOc,Away: Strzały na bramkę,2
g_1_tQpRzYOc,Home: Strzały niecelne,3
g_1_tQpRzYOc,Away: Strzały niecelne,5
g_1_tQpRzYOc,Home: Strzały zablokowane,2
g_1_tQpRzYOc,Away: Strzały zablokowane,1
g_1_tQpRzYOc,Home: Rzuty wolne,16
g_1_tQpRzYOc,Away: Rzuty wolne,12
g_1_tQpRzYOc,Home: Rzuty rożne,3
g_1_tQpRzYOc,Away: Rzuty rożne,2
g_1_tQpRzYOc,Home: Spalone,0
g_1_tQpRzYOc,Away: Spalone,1
g_1_tQpRzYOc,Home: Interwencje bramkarzy,1
g_1_tQpRzYOc,Away: Interwencje bramkarzy,4
g_1_tQpRzYOc,Home: Faule,13
g_1_tQpRzYOc,Away: Faule,16
g_1_tQpRzYOc,Home: Żółte kartki,1
g_1_tQpRzYOc,Away: Żółte kartki,0
g_1_tQpRzYOc,Home: Podania celne,363
g_1_tQpRzYOc,Away: Podania celne,405
g_1_tQpRzYOc,Home: Bloki,12
g_1_tQpRzYOc,Away: Bloki,12
g_1_tQpRzYOc,Home: Ataki,76
g_1_tQpRzYOc,Away: Ataki,99
g_1_boi8KCvH,MatchDate,22.05.2021 20:45
g_1_boi8KCvH,HomeTeam,Cagliari
g_1_boi8KCvH,AwayTeam,Genoa
g_1_boi8KCvH,Goals,"0
-
1"
g_1_boi8KCvH,Home: Posiadanie piłki,51%
g_1_boi8KCvH,Away: Posiadanie piłki,49%
g_1_boi8KCvH,Home: Sytuacje bramkowe,16
g_1_boi8KCvH,Away: Sytuacje bramkowe,11
g_1_boi8KCvH,Home: Strzały na bramkę,7
g_1_boi8KCvH,Away: Strzały na bramkę,5
g_1_boi8KCvH,Home: Strzały niecelne,6
g_1_boi8KCvH,Away: Strzały niecelne,4
g_1_boi8KCvH,Home: Strzały zablokowane,3
g_1_boi8KCvH,Away: Strzały zablokowane,2
g_1_boi8KCvH,Home: Rzuty wolne,15
g_1_boi8KCvH,Away: Rzuty wolne,9
g_1_boi8KCvH,Home: Rzuty rożne,8
g_1_boi8KCvH,Away: Rzuty rożne,4
g_1_boi8KCvH,Home: Spalone,0
g_1_boi8KCvH,Away: Spalone,2
g_1_boi8KCvH,Home: Interwencje bramkarzy,4
g_1_boi8KCvH,Away: Interwencje bramkarzy,7
g_1_boi8KCvH,Home: Faule,9
g_1_boi8KCvH,Away: Faule,13
g_1_boi8KCvH,Home: Czerwone kartki,0
g_1_boi8KCvH,Away: Czerwone kartki,1
g_1_boi8KCvH,Home: Żółte kartki,1
g_1_boi8KCvH,Away: Żółte kartki,4
g_1_boi8KCvH,Home: Podania celne,447
g_1_boi8KCvH,Away: Podania celne,439
g_1_boi8KCvH,Home: Bloki,16
g_1_boi8KCvH,Away: Bloki,14
g_1_boi8KCvH,Home: Ataki,106
g_1_boi8KCvH,Away: Ataki,89
g_1_prm4LhPA,MatchDate,22.05.2021 20:45
g_1_prm4LhPA,HomeTeam,Crotone
g_1_prm4LhPA,AwayTeam,Fiorentina
g_1_prm4LhPA,Goals,"0
-
0"
g_1_prm4LhPA,Home: Posiadanie piłki,57%
g_1_prm4LhPA,Away: Posiadanie piłki,43%
g_1_prm4LhPA,Home: Sytuacje bramkowe,12
g_1_prm4LhPA,Away: Sytuacje bramkowe,11
g_1_prm4LhPA,Home: Strzały na bramkę,4
g_1_prm4LhPA,Away: Strzały na bramkę,3
g_1_prm4LhPA,Home: Strzały niecelne,6
g_1_prm4LhPA,Away: Strzały niecelne,5
g_1_prm4LhPA,Home: Strzały zablokowane,2
g_1_prm4LhPA,Away: Strzały zablokowane,3
g_1_prm4LhPA,Home: Rzuty wolne,12
g_1_prm4LhPA,Away: Rzuty wolne,14
g_1_prm4LhPA,Home: Rzuty rożne,6
g_1_prm4LhPA,Away: Rzuty rożne,5
g_1_prm4LhPA,Home: Spalone,3
g_1_prm4LhPA,Away: Spalone,1
g_1_prm4LhPA,Home: Interwencje bramkarzy,3
g_1_prm4LhPA,Away: Interwencje bramkarzy,4
g_1_prm4LhPA,Home: Faule,11
g_1_prm4LhPA,Away: Faule,10
g_1_prm4LhPA,Home: Żółte kartki,2
g_1_prm4LhPA,Away: Żółte kartki,2
g_1_prm4LhPA,Home: Podania celne,330
g_1_prm4LhPA,Away: Podania celne,326
g_1_prm4LhPA,Home: Bloki,16
g_1_prm4LhPA,Away: Bloki,20
g_1_prm4LhPA,Home: Ataki,114
g_1_prm4LhPA,Away: Ataki,115
g_1_EJhuDUWj,MatchDate,22.05.2021 20:45
g_1_EJhuDUWj,HomeTeam,Sampdoria
g_1_EJhuDUWj,AwayTeam,Parma
g_1_EJhuDUWj,Goals,"3
-
0"
g_1_EJhuDUWj,Home: Posiadanie piłki,45%
g_1_EJhuDUWj,Away: Posiadanie piłki,55%
g_1_EJhuDUWj,Home: Sytuacje bramkowe,12
g_1_EJhuDUWj,Away: Sytuacje bramkowe,11
g_1_EJhuDUWj,Home: Strzały na bramkę,4
g_1_EJhuDUWj,Away: Strzały na bramkę,1
g_1_EJhuDUWj,Home: Strzały niecelne,2
g_1_EJhuDUWj,Away: Strzały niecelne,4
g_1_EJhuDUWj,Home: Strzały zablokowane,6
g_1_EJhuDUWj,Away: Strzały zablokowane,6
g_1_EJhuDUWj,Home: Rzuty wolne,15
g_1_EJhuDUWj,Away: Rzuty wolne,10
g_1_EJhuDUWj,Home: Rzuty rożne,2
g_1_EJhuDUWj,Away: Rzuty rożne,4
g_1_EJhuDUWj,Home: Spalone,0
g_1_EJhuDUWj,Away: Spalone,3
g_1_EJhuDUWj,Home: Interwencje bramkarzy,1
g_1_EJhuDUWj,Away: Interwencje bramkarzy,1
g_1_EJhuDUWj,Home: Faule,10
g_1_EJhuDUWj,Away: Faule,12
g_1_EJhuDUWj,Home: Żółte kartki,1
g_1_EJhuDUWj,Away: Żółte kartki,1
g_1_EJhuDUWj,Home: Podania celne,405
g_1_EJhuDUWj,Away: Podania celne,503
g_1_EJhuDUWj,Home: Bloki,11
g_1_EJhuDUWj,Away: Bloki,8
g_1_EJhuDUWj,Home: Ataki,68
g_1_EJhuDUWj,Away: Ataki,113
g_1_SU0DYSuo,MatchDate,18.05.2021 20:30
g_1_SU0DYSuo,HomeTeam,Lazio
g_1_SU0DYSuo,AwayTeam,Torino
g_1_SU0DYSuo,Goals,"0
-
0"
g_1_SU0DYSuo,Home: Posiadanie piłki,66%
g_1_SU0DYSuo,Away: Posiadanie piłki,34%
g_1_SU0DYSuo,Home: Sytuacje bramkowe,21
g_1_SU0DYSuo,Away: Sytuacje bramkowe,6
g_1_SU0DYSuo,Home: Strzały na bramkę,11
g_1_SU0DYSuo,Away: Strzały na bramkę,4
g_1_SU0DYSuo,Home: Strzały niecelne,7
g_1_SU0DYSuo,Away: Strzały niecelne,2
g_1_SU0DYSuo,Home: Strzały zablokowane,3
g_1_SU0DYSuo,Away: Strzały zablokowane,0
g_1_SU0DYSuo,Home: Rzuty wolne,12
g_1_SU0DYSuo,Away: Rzuty wolne,14
g_1_SU0DYSuo,Home: Rzuty rożne,4
g_1_SU0DYSuo,Away: Rzuty rożne,0
g_1_SU0DYSuo,Home: Spalone,4
g_1_SU0DYSuo,Away: Spalone,0
g_1_SU0DYSuo,Home: Interwencje bramkarzy,4
g_1_SU0DYSuo,Away: Interwencje bramkarzy,11
g_1_SU0DYSuo,Home: Faule,11
g_1_SU0DYSuo,Away: Faule,13
g_1_SU0DYSuo,Home: Żółte kartki,4
g_1_SU0DYSuo,Away: Żółte kartki,0
g_1_SU0DYSuo,Home: Podania celne,537
g_1_SU0DYSuo,Away: Podania celne,152
g_1_APYL8Fu5,MatchDate,17.05.2021 20:45
g_1_APYL8Fu5,HomeTeam,Verona
g_1_APYL8Fu5,AwayTeam,Bologna
g_1_APYL8Fu5,Goals,"2
-
2"
g_1_APYL8Fu5,Home: Posiadanie piłki,53%
g_1_APYL8Fu5,Away: Posiadanie piłki,47%
